"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN7931_c0_g2_i2",213.447900726939,6.47113282274794,0.709985018441441,9.11446390369387,7.90603715062287e-20,5.94375872983827e-16
"TRINITY_DN34410_c0_g1_i1",162.008139447803,7.77702136246519,0.873677799959585,8.90147530682929,5.51092228142182e-19,2.07155568558646e-15
"TRINITY_DN2150_c0_g1_i10",58.8142163039397,6.58487715660595,0.87367617397131,7.53697691751657,4.8099142655265e-14,1.20536451494094e-10
"TRINITY_DN84171_c0_g1_i2",37.7043157425054,4.32478696172491,0.759607114960265,5.69345241316116,1.24495926160222e-08,2.33990093218138e-05
"TRINITY_DN17150_c0_g2_i1",14.2545637629602,4.32832243586089,0.851164116518449,5.08517964028512,3.67278276491008e-07,0.000483363704515675
"TRINITY_DN303_c2_g1_i1",18.0173742543919,6.22540535473291,1.22647515119718,5.07585118920361,3.85765127307003e-07,0.000483363704515675
"TRINITY_DN136_c0_g1_i5",20.1209164622557,3.0761097791839,0.717686469838952,4.28614709689897,1.81798634014271e-05,0.0177897795241421
"TRINITY_DN43495_c0_g1_i1",11.9980989968522,8.35592942866966,1.95362196263367,4.27714756922831,1.89303320288822e-05,0.0177897795241421
"TRINITY_DN9745_c0_g1_i1",50.6357192248022,-1.35034343634431,0.327842095878409,-4.11888361293641,3.80712364996379e-05,0.0318021728893642
"TRINITY_DN40298_c0_g1_i4",2.09603191632387,8.48088159668244,2.09219762963821,4.05357576002462,5.04406544676438e-05,0.0379212840287746
"TRINITY_DN1781_c2_g1_i10",131.691799834094,0.723516277983742,0.220561090457518,3.28034412816389,0.00103680537759213,0.70860934806706
"TRINITY_DN43483_c0_g1_i1",2.64324388700975,-3.89284889272863,1.23049035574925,-3.1636565654822,0.00155800526109293,0.97609029607472
"TRINITY_DN10002_c0_g1_i1",3.50308664467727,-0.380424239549541,1.062002261974,-0.358214151862941,0.720183057360346,0.998755079265108
"TRINITY_DN100053_c0_g1_i1",1.11010049344311,-1.83265775026562,1.81829825092889,-1.00789721891301,0.313503806904481,0.998755079265108
"TRINITY_DN10006_c0_g1_i6",179.800419965457,0.221362877242688,0.304446903597537,0.727098468162836,0.46716563707827,0.998755079265108
"TRINITY_DN100083_c0_g2_i1",0.856052640997383,1.20232951324518,2.02946675113366,0.592436172001123,0.553558550322831,0.998755079265108
"TRINITY_DN1000_c0_g1_i1",7.37494862373925,-0.374553375177067,0.736989190735324,-0.508220988700472,0.611298373130904,0.998755079265108
"TRINITY_DN1000_c1_g1_i2",8.74431045389549,-1.27709410296544,0.750185573959107,-1.7023709163395,0.0886858584826655,0.998755079265108
"TRINITY_DN10010_c0_g1_i1",3.4752805644811,-0.61402317026865,1.05555530563691,-0.581706299034855,0.560764527918976,0.998755079265108
"TRINITY_DN10011_c0_g1_i1",5.73090551430555,-0.670514748145521,0.93231019387907,-0.71919705753265,0.472019512137527,0.998755079265108
"TRINITY_DN10015_c0_g2_i2",9.87980567378876,-0.258766677235456,0.633463968404546,-0.40849470552712,0.682910516764846,0.998755079265108
"TRINITY_DN100162_c0_g2_i1",30.2247573334758,-0.599037828267094,0.46734834989747,-1.2817801291018,0.199919786703091,0.998755079265108
"TRINITY_DN1001_c0_g1_i2",4.5205168957736,-1.21134663660679,0.879211222862384,-1.37776521171227,0.168275790031578,0.998755079265108
"TRINITY_DN1001_c0_g1_i3",4.83593623108761,0.509103813142733,0.925579149824028,0.550038117474366,0.582293229543544,0.998755079265108
"TRINITY_DN10023_c0_g1_i1",1.15912308429622,-0.781395903548151,1.69372336653203,-0.461348009355325,0.644548945780917,0.998755079265108
"TRINITY_DN10023_c0_g1_i2",267.719160663475,0.130015129703374,0.209697511962996,0.620012743528958,0.535249397040438,0.998755079265108
"TRINITY_DN10029_c0_g2_i17",2.27676831012221,0.025758898294786,1.26152043835867,0.0204189306106687,0.983709182554666,0.998755079265108
"TRINITY_DN10033_c0_g1_i2",3.01951646468689,-0.709795650167155,1.0766904452562,-0.65923836632381,0.509742713517678,0.998755079265108
"TRINITY_DN100360_c0_g1_i1",1.26464068479302,-1.03606214042492,1.68879058717855,-0.613493554672082,0.539550043222923,0.998755079265108
"TRINITY_DN1003_c0_g1_i10",2.21336933662686,-0.039325637224879,1.29432399986188,-0.030383147673284,0.975761484859878,0.998755079265108
"TRINITY_DN100480_c0_g1_i1",4.1912893882036,2.46655260176226,1.11395600707361,2.21422801807223,0.026813097411413,0.998755079265108
"TRINITY_DN100570_c0_g1_i1",3.53308144296864,2.17598118147189,1.15977731554548,1.87620602016039,0.0606269957496342,0.998755079265108
"TRINITY_DN1005_c0_g1_i4",4.18528160274677,0.704499476081577,0.95565125028986,0.737193066893278,0.461004949035202,0.998755079265108
"TRINITY_DN100624_c0_g1_i1",0.960094961059292,0.659962609149253,1.89700577589051,0.347896995115603,0.727917542034254,0.998755079265108
"TRINITY_DN100652_c0_g1_i1",2.1124828823418,1.21004231105173,1.44853872183268,0.835353789866792,0.403518539809989,0.998755079265108
"TRINITY_DN10065_c0_g1_i2",5.87686999731524,-0.162171565009482,0.772288625028315,-0.209988286443473,0.833676815286944,0.998755079265108
"TRINITY_DN10067_c0_g2_i1",4.62479966138404,1.25053427526528,0.917803552975612,1.3625293465153,0.173030889194715,0.998755079265108
